2025-04-14 04:25:56,430 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/health'])[2]
2025-04-14 04:25:57,275 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 04:25:58,315 INFO  utils.LoggerHandler - Wait till the Element By.name: search-input is Visible
2025-04-14 04:25:58,411 INFO  utils.LoggerHandler - Inputed Eyes in Input Field
2025-04-14 04:25:58,474 INFO  utils.LoggerHandler - Enter Action Performed
2025-04-14 04:25:59,768 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//div[@class='index-list__title'])[1]
2025-04-14 04:26:00,581 INFO  utils.LoggerHandler - Wait till the Element By.xpath:  //a[text()='Red eye'] is Clickable
2025-04-14 04:26:04,465 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: //h4[text()='Eye appearance/alignment']
2025-04-14 04:26:05,971 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath:  //a[text()='Red eye']
2025-04-14 04:26:06,181 INFO  utils.LoggerHandler - Driver Switched to new Window
2025-04-14 04:26:09,610 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/departments'])[2]
2025-04-14 04:26:12,884 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: //h2[contains(text(),'Special Expertise Institutes')]
2025-04-14 04:26:13,144 INFO  utils.LoggerHandler - Clicked the Element with locator By.cssSelector: a[href='/departments/blood-management']
2025-04-14 04:26:14,308 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//a[@class='button--strong button--full button--arrow'])[1] is Clickable
2025-04-14 04:26:16,452 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//a[@class='button--strong button--full button--arrow'])[1]
2025-04-14 04:26:16,767 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@class='button--strong button--full button--arrow'])[1]
2025-04-14 04:26:19,562 INFO  utils.LoggerHandler - Wait till the Element By.xpath: //h2[contains(text(),'Special Expertise Institutes')] is Clickable
2025-04-14 04:26:19,657 INFO  utils.LoggerHandler - Scrolled Till the element is in View 
2025-04-14 04:26:19,791 INFO  utils.LoggerHandler - Wait till the Element By.xpath: //h2[contains(text(),'Special Expertise Institutes')] is Clickable
2025-04-14 04:26:21,979 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: //h2[contains(text(),'Special Expertise Institutes')]
2025-04-14 04:26:22,125 INFO  utils.LoggerHandler - Clicked the Element with locator By.cssSelector: a[href='/departments/pharmacy']
2025-04-14 04:26:22,125 INFO  utils.LoggerHandler - verify forms
2025-04-14 04:26:22,698 INFO  utils.LoggerHandler - Wait till the Element By.xpath: //a[contains(text(),'Take The Survey')] is Visible
2025-04-14 04:26:25,079 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//li[text()='Questions '])[2]
2025-04-14 04:26:25,254 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: //a[contains(text(),'Take The Survey')]
2025-04-14 04:26:25,288 INFO  utils.LoggerHandler - Driver Switched to new Window
2025-04-14 04:26:25,289 INFO  utils.LoggerHandler - verify forms
2025-04-14 04:26:28,184 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//h5[text()='About Cleveland Clinic'])
2025-04-14 04:26:28,219 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//a[@href='/help'])[4] is Clickable
2025-04-14 04:26:28,362 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/help'])[4]
2025-04-14 04:26:28,789 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//h2[contains(text(),'Contact Us by Email')])[1] is Clickable
2025-04-14 04:26:28,823 INFO  utils.LoggerHandler - Scrolled Till the element is in View 
2025-04-14 04:26:29,092 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/about/contact/phone-directory'])[1]
2025-04-14 04:26:29,799 INFO  utils.LoggerHandler - Clicked the Element with locator By.cssSelector: h3[class='side-block__title lede']
2025-04-14 04:26:30,381 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//span[@class='header__logo']) is Clickable
2025-04-14 04:26:32,523 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//span[@class='header__logo'])
2025-04-14 04:26:32,656 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//span[@class='header__logo'])
2025-04-14 04:26:33,997 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//a[contains(text(),'Need Help?')])[1] is Clickable
2025-04-14 04:26:36,137 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//a[contains(text(),'Need Help?')])[1]
2025-04-14 04:26:36,275 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[contains(text(),'Need Help?')])[1]
2025-04-14 04:26:38,753 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//a[@href='/patients/travel/parking'])
2025-04-14 04:26:38,932 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 04:26:38,933 INFO  utils.LoggerHandler - click on parking
2025-04-14 04:26:39,853 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/patients/travel/travel-assistance'])[1]
2025-04-14 04:26:41,557 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/patients/international'])[1]
2025-04-14 04:26:41,808 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 04:26:41,954 INFO  utils.LoggerHandler - Scrolled Till the element is in View 
2025-04-14 04:26:42,428 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 04:26:43,041 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[contains(text(),'Get Started (U.S.)')])[1]
2025-04-14 04:26:43,051 INFO  utils.LoggerHandler - Url Mismatch
